iter	Passed	Remaining
0	1	182
1	3	167
2	4	160
3	6	148
4	9	182
5	11	183
6	13	175
7	14	170
8	16	165
9	17	161
10	19	157
11	21	156
12	23	157
13	25	156
14	27	155
15	29	153
16	30	150
17	33	151
18	34	149
19	38	152
20	40	150
21	42	148
22	43	146
23	45	143
24	47	141
25	51	145
26	56	154
27	59	151
28	61	150
29	65	152
30	67	149
31	69	147
32	71	144
33	73	142
34	74	138
35	76	135
36	77	132
37	79	129
38	81	127
39	83	124
40	85	122
41	85	118
42	87	116
43	89	114
44	91	111
45	93	109
46	96	108
47	98	106
48	99	103
49	101	101
50	102	98
51	105	97
52	107	95
53	109	93
54	110	90
55	112	88
56	114	86
57	116	84
58	119	82
59	122	81
60	124	79
61	126	77
62	129	75
63	130	73
64	132	71
65	135	69
66	136	67
67	139	65
68	142	63
69	143	61
70	145	59
71	147	57
72	149	55
73	150	53
74	153	51
75	155	49
76	157	46
77	158	44
78	160	42
79	162	40
80	165	38
81	166	36
82	168	34
83	170	32
84	172	30
85	173	28
86	175	26
87	178	24
88	179	22
89	181	20
90	183	18
91	185	16
92	187	14
93	189	12
94	191	10
95	193	8
96	194	6
97	196	4
98	199	2
99	201	0
